0,-25.657612000877045
1,-23.970463276172023
2,-21.061121550266666
3,-18.610775318914985
5,-16.839707137862536
74,-16.150147606744156
81,-15.529820615897565
116,-15.04555376191538
144,-14.899510901708428
145,-14.626556150962566
303,-13.79684753190506
453,-12.934907736030445
503,-10.600465737698695
941,-10.50404094298689
1026,-6.56514982344587
1059,-4.452270355060102
1589,-4.21801955125248
1754,-4.047752568808879
1879,-3.1084856965040046
3225,-3.012731800844924
4396,-2.934619449394856
7049,-0.10629470464348545
